bf_nr,aufgabentraeger,bahnhof,preisklasse,bundesland,preis_spnv,preis_spfv,bemerkung
2420NVV,,Baunatal-Guntershausen,5,Hessen,1.98,5.13,
5224NVV,,Baunatal-Rengershausen,6,Hessen,2.73,7.26,
432ZVON,,Bautzen,4,Sachsen,8.22,21.92,
433LNVG,,Bavendorf,7,Niedersachsen,2.85,7.6,
435BEG,,BayerischEisenstein,6,Bayern,2.89,7.59,
436BEG,,BayerischGmain,6,Bayern,2.89,7.59,
439BEG,,BayreuthHbf,3,Bayern,4.75,12.53,
441BEG,,Bayrischzell,6,Bayern,2.89,7.59,
442NASA,,Bebitz,7,Sachsen-Anhalt,2.77,7.39,
443NVV,,Bebra,3,Hessen,16.0,42.71,
446ZPS,,Beckingen(Saar),6,Saarland,1.54,4.04,
